commit,file,insertions,deletions,author,date
83916bff5214b9267042e128331e0456173116cd,.github/workflows/staging.yaml,2,2,Veikko Suhonen,2024-04-16 14:40:26+03:00
d0179fba64a73f0ae4646e18c94253b4609a7ca8,.github/workflows/staging.yaml,3,12,Veikkosuhonen,2024-04-16 12:58:47+03:00
a2659d6e50274d82b141b046fc745b32839d6bfc,.github/workflows/staging.yaml,9,0,Veikkosuhonen,2024-04-16 12:51:15+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/client/App.tsx,2,1,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/client/assets/hy_logo.svg,1,1,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/client/components/Courses/index.tsx,111,20,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/client/components/Courses/useEnableCourse.ts,20,0,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/client/components/NavBar/styles.ts,0,1,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/client/index.tsx,1,4,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/client/locales/fi.json,8,0,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/client/theme.ts,9,3,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/config.ts,2,0,Veikkosuhonen,2024-04-16 12:37:24+03:00
d8ef9d789610dccbf5d0b4599d1a47f3670de376,src/server/routes/chatInstance.ts,23,0,Veikkosuhonen,2024-04-16 12:37:24+03:00
3161bb8809e8631c31d8de3a31f82a857bd8b814,src/client/components/Courses/index.tsx,11,15,Veikkosuhonen,2024-04-15 20:55:58+03:00
3161bb8809e8631c31d8de3a31f82a857bd8b814,src/client/hooks/useUserCourses.ts,2,1,Veikkosuhonen,2024-04-15 20:55:58+03:00
3161bb8809e8631c31d8de3a31f82a857bd8b814,src/server/routes/course.ts,10,13,Veikkosuhonen,2024-04-15 20:55:58+03:00
e1924931b5ff694273c6ad2399841a81ffd01970,src/client/components/Admin/Usage/CourseTable.tsx,4,1,Veikkosuhonen,2024-04-15 19:53:09+03:00
e1924931b5ff694273c6ad2399841a81ffd01970,src/client/components/Courses/index.tsx,19,25,Veikkosuhonen,2024-04-15 19:53:09+03:00
