commit,file,insertions,deletions,author,date
84e6da8963172a3675aa10d52619646ca07ab62f,config/hy.js,1,1,Veikko Suhonen,2024-04-30 19:49:50+03:00
d66856b4c2173d6457670c011e631eb8e782337c,package.json,6,6,Veikko Suhonen,2024-04-29 11:51:56+03:00
58b0dab93078727a5ec5b24c93770d0be328c53a,package.json,6,6,Reija Laukko,2024-04-29 11:26:59+03:00
108068aa4e11f4bf62772a506363a8b0fb8475d0,src/client/components/NavBar/NavBar.js,3,3,Henri Remonen,2024-04-29 09:58:20+03:00
38fac92eeef3ac9887fe3fc8d658546aa5997b5a,src/client/pages/MyTeaching/V2/MyTeaching.js,11,5,Henri Remonen,2024-04-29 09:36:57+03:00
ba929e181e99fe52a77aaa2b65dd801bf00e43f0,src/server/services/myTeaching/tabCountService.js,1,0,Henri Remonen,2024-04-29 09:36:14+03:00
e4204944d1e9be3ab8b39035ea2f68dd2ccef5cd,src/server/routes/myTeaching/myTeachingController.js,2,2,Henri Remonen,2024-04-29 09:35:08+03:00
e4204944d1e9be3ab8b39035ea2f68dd2ccef5cd,src/server/services/myTeaching/tabCountService.js,39,4,Henri Remonen,2024-04-29 09:35:08+03:00
3e71beaebb38371023d7d7e90e06a6453ffb9028,src/client/components/NavBar/NavBar.js,3,3,Henri Remonen,2024-04-26 16:58:54+03:00
d7be382601ad618578e0fa4d8ed9a9137d0c77e1,src/server/services/summary/utils.ts,1,1,Veikkosuhonen,2024-04-26 14:54:11+03:00
9d6f71563be0f966f6b069e301c1764124d433e7,.github/workflows/test.yml,2,2,Veikkosuhonen,2024-04-26 14:42:28+03:00
b4080d2e5a290cfd5f5766275e4f57ecbdf436d3,cypress/integration/courseSummary.spec.js,1,1,Veikkosuhonen,2024-04-26 14:15:47+03:00
8d5b33f79e88b41dfc8c38e9f1ea3c687c6e68cb,package.json,7,7,Henri Remonen,2024-04-26 13:43:47+03:00
d1d849b6d849fe3e725ca4c8512d1b0504f231aa,config/hy.js,0,1,Veikkosuhonen,2024-04-26 13:38:54+03:00
82d8f412db1f99130d6060ab88368d66e88cbdd9,src/client/pages/Admin/tabs/Misc/MiscTab.js,0,6,Veikkosuhonen,2024-04-26 13:33:42+03:00
82d8f412db1f99130d6060ab88368d66e88cbdd9,src/server/routes/admin/adminController.js,0,65,Veikkosuhonen,2024-04-26 13:33:42+03:00
7c4661ad45db2a9470efd393a17cf34473b62107,src/server/migrations/20240126_00_add_extra_org_ids_to_summaries.js,3,2,Veikkosuhonen,2024-04-26 13:16:17+03:00
baab359051b0fe45e92109b59a4b061c0706f854,src/server/migrations/20220718_01_add_cur_start_date_to_summary_cache.js,1,1,Veikkosuhonen,2024-04-26 13:04:21+03:00
baab359051b0fe45e92109b59a4b061c0706f854,src/server/migrations/20221013_00_init_organisation_feedback_correspondents.js,0,2,Veikkosuhonen,2024-04-26 13:04:21+03:00
9bff4a099216ce111b2e18c70b31750a3a63be71,.github/workflows/test.yml,4,0,Veikkosuhonen,2024-04-26 12:55:45+03:00
9bff4a099216ce111b2e18c70b31750a3a63be71,cypress.config.js,1,1,Veikkosuhonen,2024-04-26 12:55:45+03:00
76fa1a019c4865dafcbb1711ea52a3ade4e72690,package-lock.json,13,0,Veikkosuhonen,2024-04-26 12:37:20+03:00
76fa1a019c4865dafcbb1711ea52a3ade4e72690,package.json,2,1,Veikkosuhonen,2024-04-26 12:37:20+03:00
76fa1a019c4865dafcbb1711ea52a3ade4e72690,src/server/models/summary.ts,2,2,Veikkosuhonen,2024-04-26 12:37:20+03:00
76fa1a019c4865dafcbb1711ea52a3ade4e72690,src/server/services/summary/utils.ts,4,7,Veikkosuhonen,2024-04-26 12:37:20+03:00
554c6a3f65dbf7c9ff16b8267ee741dfaf351733,src/server/models/index.ts,281,0,Veikkosuhonen,2024-04-26 12:35:19+03:00
554c6a3f65dbf7c9ff16b8267ee741dfaf351733,src/server/models/summary.ts,6,7,Veikkosuhonen,2024-04-26 12:35:19+03:00
